orginal_tree_names,names_to_use,status,accepted_names,SporeType,Motility,phylum,class,order,family,genus,Life_style,trophicMode,guild,simpleFunct,SporeVolume,spore_length,spore_width,SporeArea,Q_ratio,Number_of_guilds,information,X,X.1,X.2,solving
Helicocarpus griseus,Helicocarpus griseus,ACCEPTED,Helicocarpus griseus,NA,,Ascomycota,Eurotiomycetes,Onygenales,Ajellomycetaceae,Helicocarpus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The genome sequence and gene models of Helicocarpus griseus UAMH 5409 were not determined by the Joint Genome Institute (JGI), but were downloaded from Ensembl Fungi on April 11, 2020. Please note that this copy of the genome is not maintained by Ensembl and is therefore not automatically updated. The JGI Annotation Pipeline was used to add additional functional annotation to the author's chromosomes and proteins.",,,,Helicocarpus griseus_NA_NA
Heliocybe sulcata,Heliocybe sulcata,ACCEPTED,Heliocybe sulcata,Meiospores,,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Heliocybe,AFree living,Saprotroph,Undefined Saprotroph,Saprotroph,NA,14,6.5,71.47123287,2.153846154,NA,"The genome of Heliocybe sulcata has been sequenced under the auspices of the 1000 Fungal Genomes Project. It represents the second sequenced species in the Gloeophyllales, a relatively small order containing saprotrophic mushroom-forming fungi that produce brown rot mostly on conifers, more rarely on broadleaved tree species. Species of the Gloeophyllales display a high diversity of fruiting body morphologies, with crust- or shelf-shaped and agaricoid types being most common. The Gloeophyllales represents an independent origin of agaricoid mushrooms, i.e. morphologies with with distinct cap and stipe in the Agaricomycetes. Heliocybe sulcata, the only species in its genus, produces centrally stipitate fruiting bodies with flexible, rubber-like distantly spaced gills and a deer-brown squamose, cracked cap surface. The edge of the cap often appears strongly and deeply sulcate, hence its species name. ; Heliocybe grows on unusual substrates and places, including sun-dried wood in exposed sunny places, fence posts, railroad ties, etc. Heliocybe shares the adaptation to low-humidity, exposed places with its close relative, Neolentinus lepideus, however, that species forms larger fruiting bodies with crowded, decurrent gills. Curiously, fruiting bodies of Heliocybe can revive after desiccation, which is another way for this species to combat desiccation and extremely dry habitats. By comparing the genome of Heliocybe to that of Neolentinus as well as other brown-rot Agaricomycetes, we expect to gain an insight into the evolution of their adaptation to extreme environments and the genetic bases of agaricoid mushroom production within the Gloeophyllales. ;  ",,,,Heliocybe sulcata_14_6.5
Helminthosporium solani,Helminthosporium solani,ACCEPTED,Helminthosporium solani,Mitospores,,Ascomycota,Dothideomycetes,Pleosporales,Massarinaceae,Helminthosporium,Plant,Pathotroph,Plant_Pathogen,Plant Pathogen undefined,NA,44.63333333,21.44166667,927.4492022,3.359381359,1,NA,,,,Helminthosporium solani_44.63333333_21.44166667
Helminthosporium solani,Helminthosporium solani,DOUBTFUL,Helminthosporium solani,Mitospores,,Ascomycota,Dothideomycetes,Pleosporales,Massarinaceae,Helminthosporium,Plant,Pathotroph,Plant_Pathogen,Plant Pathogen undefined,NA,44.63333333,21.44166667,927.4492022,3.359381359,1,NA,,,,Helminthosporium solani_44.63333333_21.44166667
Helobdella robusta,Helobdella robusta,ACCEPTED,Helobdella robusta,NA,,Annelida,Clitellata,Rhynchobdellida,Glossiphoniidae,Helobdella,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,Helobdella robusta_NA_NA
Helotiales sp. F229,Helotiales sp. F229,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,Helotiales sp. F229_NA_NA
Hemileia vastatrix,Hemileia vastatrix,ACCEPTED,Hemileia vastatrix,Multinucleate sexual spores,,Basidiomycota,Pucciniomycetes,Pucciniales,Not assigned,Hemileia,Obligate association,Pathotroph,Plant_Pathogen,Plant Pathogen Rust,NA,24,24,452.3893421,1,1,NA,,,,Hemileia vastatrix_24_24
Hericium alpestre,Hericium alpestre,SYNONYM,Hericium flagellum,Meiospores,,Basidiomycota,Agaricomycetes,Russulales,Hericiaceae,Hericium,AFree living,Saprotroph,Wood Saprotroph,Saprotroph,NA,5.75,5,NA,NA,NA,Hericium coralloides and H. alpestre(Basidiomycetes) in Europe,,,,Hericium alpestre_5.75_5
Hericium alpestre,Hericium alpestre,SYNONYM,Hericium flagellum,Mitospores,,Basidiomycota,Agaricomycetes,Russulales,Hericiaceae,Hericium,AFree living,Saprotroph,Wood Saprotroph,Saprotroph,NA,9,7,NA,NA,NA,Hericium coralloides and H. alpestre(Basidiomycetes) in Europe,,,,Hericium alpestre_9_7
Hericium alpestre,Hericium flagellum,SYNONYM,NA,Meiospores,,Basidiomycota,Agaricomycetes,Russulales,Hericiaceae,Hericium,AFree living,Saprotroph,Wood Saprotroph,Saprotroph,NA,5.75,5,22.5801972,1.15,NA,AFree living,Saprotroph,Wood Saprotroph,Saprotroph,Hericium alpestre_5.75_5
Hericium coralloides,Hericium coralloides,ACCEPTED,Hericium coralloides,Meiospores,,Basidiomycota,Agaricomycetes,Russulales,Hericiaceae,Hericium,Plant,Pathotroph,Plant_Pathogen,Plant Pathogen undefined,NA,4.25,3.347222222,11.17283429,1.271367521,1,"Hericium coralloides FP-101451 is a member of the Hericiaceae family from the order Russulales, and was sequenced as part of the 1000 Fungal Genomes Project. The 1000 Fungal Genomes Project aims to fill in gaps in the Fungal Tree of Life by sequencing at least two reference genomes from the more than 500 recognized families of Fungi. This project additionally aims to inform research on plant-microbe interactions, microbial emission and capture of greenhouse gases, and environmental metagenomic sequencing.",,,,Hericium coralloides_4.25_3.347222222
Hericium erinaceus,Hericium erinaceus,ACCEPTED,Hericium erinaceus,Meiospores,,Basidiomycota,Agaricomycetes,Russulales,Hericiaceae,Hericium,Facultative association,Pathotroph-Saprotroph,Plant_Pathogen Saprotroph,Plant Pathogen Necrotroph,NA,5.75,5,22.5801972,1.15,NA,"http://iucn.ekoo.se/iucn/species_view/356812/#:~:text=Hericium%20erinaceus%20is%20a%20wood,and%20large%20diameter%20dead%20wood.",,,,Hericium erinaceus_5.75_5
Herpotrichiellaceae sp. UM238,Herpotrichiellaceae sp. UM238,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,Herpotrichiellaceae sp. UM238_NA_NA
Hesseltinella vesiculosa,Hesseltinella vesiculosa,ACCEPTED,Hesseltinella vesiculosa,Mitospores,,"""Zygomycetous fungi""",Mucoromycetes,Mucorales,Cunninghamellaceae,Hesseltinella,AFree living,Saprotroph,Undefined Saprotroph,Saprotroph,NA,6.75,2.5,13.25359401,2.7,NA,"Hesseltinella vesiculosa (Mucorales), the type and only species in the genus Hesseltinella, was isolated from paddy field soil collected in Brazil (Upadhyay 1970). This genus and species is known from only a single culture. Hesseltinella was originally thought to be related to Radiomyces (Radiomycetaceae) because of the morphological similarities between the two genera (Benny and Benjamin 1991). However, current molecular studies (Hoffmann et al. 2013) place H. vesiculosa in the Cunninghamellaceae (Mucorales, Mucoromycotina). Sporangiospores of H. vesiculosa are produced in multispored sporangiola covered with acicular spines that have hexagonal bases.  The spines are composed of calcium oxalate. Sexual reproduction has not been reported in this species.  Mucoromycotina, one of four subphyla, as well as the phylum Entomopthoromycota, were previously classified in the now defunct phylum Zygomycota. Taxa in Mucoromycotina are saprobes or facultative parasite in nature.  Some species are important as plant and post-harvest pathogens, in industry for production of enzymes and organic acids, and as the causative agents of mucormycosis in humans and some other animals.  Mucoromycotina is the largest subphylum of zygomycete fungi. ; Benny, G.L., and R.K. Benjamin. 1991. The Radiomycetaceae (Mycorales; Zygomycetes). III. A new species of Radiomyces, and cladistic analysis and taxonomy of the family; with a discussion of the evolutionary ordinal relationships in Zygomycotina. Mycologia 83: 713-735. Hoffmann, K., J. Pawlowska, G. Walther, M. Wrzosek, G.S. de Hoog, G.L. Benny, P.M. Kirk, and K. Voigt. 2013. The family structure of the Mucorales: a synoptic revision based on comprehensive multigene-genealogies. Persoonia 30: 57-76. Upadhyay, H.P. 1970. Soil fungi from north-east and north Brazil—VIII. Persoonia 6: 111-117.",,,,Hesseltinella vesiculosa_6.75_2.5
Heterobasidion annosum,Heterobasidion annosum,ACCEPTED,Heterobasidion annosum,Meiospores,,Basidiomycota,Agaricomycetes,Russulales,Bondarzewiaceae,Heterobasidion,Facultative association,Patotroph,Plant_Pathogen,Plant necrotroph,NA,5,3.75,14.82439033,1.330357143,1,"Heterobasidion annosum s.l. causes a devastating root rot in conifer plantations and natural forests throughout the northern hemisphere. The proposed genome sequencing for H. annosum will provide the first comprehensive genetic information on a plant pathogenic homobasidiomycete allowing for new insights into plant-microbe interactions with trees, in particular conifers. It is important to broaden the taxonomic base for understanding the mechanisms of plant-microbe interactions, studying genes and proteins involved, and identifying pathogenicity determinants. Comparative genomics of plant pathogens with a gradient of taxonomic relatedness to H. annosum will help to understand the evolution of such factors. ; Comparisons can also be made in the response of plants to various types of trophic interactions. Interactions with the necrotrophic pathogen H. annosum and the model tree Populus can be compared to biotrophic interactions with rust pathogen fungi and mycorrhizal mutualists. This will increase the information on comparative genomics on fungi in general and to develop a broader view on the complex communities associated with the model tree Populus.  The sequence information will enable a comparison with the model white rotter Phanerochaete chrysosporium, deepening our understanding of wood degradation including ligninolytic and polysaccharide degradation pathways as well as for several bioremediation applications where the oxidative systems of white rotting basidiomycetes can be used to detoxify organic pollutants. ; Moreover, this project will also gain insights into fungal evolutionary history and biology including development, non self recognition, mating, and secondary metabolism. ; Recent progress in the H. annosum research include: Possibilities for fruiting and classical genetics, publication of a genetic linkage map, EST compilation of more than 3000 seqences is available, transformation system, knowledge of genetics of interspecific recognition, phylogeny of the species complex, pathogenicity factors in nucleus and mitochondria etc. This allows for a direct use of sequence information for gene discovery and functional analysis.",,,,Heterobasidion annosum_5_3.75
Heterobasidion annosum,Heterobasidion annosum,ACCEPTED,Heterobasidion annosum,Meiospores,,Basidiomycota,Agaricomycetes,Russulales,Bondarzewiaceae,Heterobasidion,Facultative association,Patotroph,Plant_Pathogen,Plant necrotroph,NA,5,3.75,14.82439033,1.330357143,1,"Heterobasidion annosum s.l. causes a devastating root rot in conifer plantations and natural forests throughout the northern hemisphere. The proposed genome sequencing for H. annosum will provide the first comprehensive genetic information on a plant pathogenic homobasidiomycete allowing for new insights into plant-microbe interactions with trees, in particular conifers. It is important to broaden the taxonomic base for understanding the mechanisms of plant-microbe interactions, studying genes and proteins involved, and identifying pathogenicity determinants. Comparative genomics of plant pathogens with a gradient of taxonomic relatedness to H. annosum will help to understand the evolution of such factors. ; Comparisons can also be made in the response of plants to various types of trophic interactions. Interactions with the necrotrophic pathogen H. annosum and the model tree Populus can be compared to biotrophic interactions with rust pathogen fungi and mycorrhizal mutualists. This will increase the information on comparative genomics on fungi in general and to develop a broader view on the complex communities associated with the model tree Populus.  The sequence information will enable a comparison with the model white rotter Phanerochaete chrysosporium, deepening our understanding of wood degradation including ligninolytic and polysaccharide degradation pathways as well as for several bioremediation applications where the oxidative systems of white rotting basidiomycetes can be used to detoxify organic pollutants. ; Moreover, this project will also gain insights into fungal evolutionary history and biology including development, non self recognition, mating, and secondary metabolism. ; Recent progress in the H. annosum research include: Possibilities for fruiting and classical genetics, publication of a genetic linkage map, EST compilation of more than 3000 seqences is available, transformation system, knowledge of genetics of interspecific recognition, phylogeny of the species complex, pathogenicity factors in nucleus and mitochondria etc. This allows for a direct use of sequence information for gene discovery and functional analysis.",,,,Heterobasidion annosum_5_3.75
Heterobasidion annosum,Heterobasidion annosum,SYNONYM,Heterobasidion annosum,Meiospores,,Basidiomycota,Agaricomycetes,Russulales,Bondarzewiaceae,Heterobasidion,Facultative association,Patotroph,Plant_Pathogen,Plant necrotroph,NA,5,3.75,14.82439033,1.330357143,1,"Heterobasidion annosum s.l. causes a devastating root rot in conifer plantations and natural forests throughout the northern hemisphere. The proposed genome sequencing for H. annosum will provide the first comprehensive genetic information on a plant pathogenic homobasidiomycete allowing for new insights into plant-microbe interactions with trees, in particular conifers. It is important to broaden the taxonomic base for understanding the mechanisms of plant-microbe interactions, studying genes and proteins involved, and identifying pathogenicity determinants. Comparative genomics of plant pathogens with a gradient of taxonomic relatedness to H. annosum will help to understand the evolution of such factors. ; Comparisons can also be made in the response of plants to various types of trophic interactions. Interactions with the necrotrophic pathogen H. annosum and the model tree Populus can be compared to biotrophic interactions with rust pathogen fungi and mycorrhizal mutualists. This will increase the information on comparative genomics on fungi in general and to develop a broader view on the complex communities associated with the model tree Populus.  The sequence information will enable a comparison with the model white rotter Phanerochaete chrysosporium, deepening our understanding of wood degradation including ligninolytic and polysaccharide degradation pathways as well as for several bioremediation applications where the oxidative systems of white rotting basidiomycetes can be used to detoxify organic pollutants. ; Moreover, this project will also gain insights into fungal evolutionary history and biology including development, non self recognition, mating, and secondary metabolism. ; Recent progress in the H. annosum research include: Possibilities for fruiting and classical genetics, publication of a genetic linkage map, EST compilation of more than 3000 seqences is available, transformation system, knowledge of genetics of interspecific recognition, phylogeny of the species complex, pathogenicity factors in nucleus and mitochondria etc. This allows for a direct use of sequence information for gene discovery and functional analysis.",,,,Heterobasidion annosum_5_3.75
Heterobasidion annosum,Heterobasidion annosum,SYNONYM,Heterobasidion annosum,Meiospores,,Basidiomycota,Agaricomycetes,Russulales,Bondarzewiaceae,Heterobasidion,Facultative association,Patotroph,Plant_Pathogen,Plant necrotroph,NA,5,3.75,14.82439033,1.330357143,1,"Heterobasidion annosum s.l. causes a devastating root rot in conifer plantations and natural forests throughout the northern hemisphere. The proposed genome sequencing for H. annosum will provide the first comprehensive genetic information on a plant pathogenic homobasidiomycete allowing for new insights into plant-microbe interactions with trees, in particular conifers. It is important to broaden the taxonomic base for understanding the mechanisms of plant-microbe interactions, studying genes and proteins involved, and identifying pathogenicity determinants. Comparative genomics of plant pathogens with a gradient of taxonomic relatedness to H. annosum will help to understand the evolution of such factors. ; Comparisons can also be made in the response of plants to various types of trophic interactions. Interactions with the necrotrophic pathogen H. annosum and the model tree Populus can be compared to biotrophic interactions with rust pathogen fungi and mycorrhizal mutualists. This will increase the information on comparative genomics on fungi in general and to develop a broader view on the complex communities associated with the model tree Populus.  The sequence information will enable a comparison with the model white rotter Phanerochaete chrysosporium, deepening our understanding of wood degradation including ligninolytic and polysaccharide degradation pathways as well as for several bioremediation applications where the oxidative systems of white rotting basidiomycetes can be used to detoxify organic pollutants. ; Moreover, this project will also gain insights into fungal evolutionary history and biology including development, non self recognition, mating, and secondary metabolism. ; Recent progress in the H. annosum research include: Possibilities for fruiting and classical genetics, publication of a genetic linkage map, EST compilation of more than 3000 seqences is available, transformation system, knowledge of genetics of interspecific recognition, phylogeny of the species complex, pathogenicity factors in nucleus and mitochondria etc. This allows for a direct use of sequence information for gene discovery and functional analysis.",,,,Heterobasidion annosum_5_3.75
Heterobasidion irregulare,Heterobasidion irregulare,ACCEPTED,Heterobasidion irregulare,NA,,Basidiomycota,Agaricomycetes,Russulales,Bondarzewiaceae,Heterobasidion,Facultative association,Pathotroph,Plant_Pathogen,Plant Pathogen undefined,NA,NA,NA,NA,NA,NA,I did not find the spore data,,,,Heterobasidion irregulare_NA_NA
Heterobasidion parviporum,Heterobasidion parviporum,ACCEPTED,Heterobasidion parviporum,Mitospores,,Basidiomycota,Agaricomycetes,Russulales,Bondarzewiaceae,Heterobasidion,Facultative association,Patotroph,Plant_Pathogen,Plant Pathogen Necrotroph,NA,5.5,4.25,NA,NA,NA,https://www.cabi.org/isc/datasheet/27048,https://www.cabi.org/isc/datasheet/27044,,,Heterobasidion parviporum_NA_NA
Heterobasidion parviporum,Heterobasidion parviporum,ACCEPTED,Heterobasidion parviporum,Meiospores,,Basidiomycota,Agaricomycetes,Russulales,Bondarzewiaceae,Heterobasidion,Facultative association,Patotroph,Plant_Pathogen,Plant Pathogen Necrotroph,NA,4.5,3.5,NA,NA,NA,https://www.cabi.org/isc/datasheet/27048,https://www.cabi.org/isc/datasheet/27044,,,Heterobasidion parviporum_NA_NA
Hirsutella minnesotensis,Hirsutella minnesotensis,ACCEPTED,Hirsutella minnesotensis,NA,,Ascomycota,Sordariomycetes,Hypocreales,Ophiocordycipitaceae,Hirsutella,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Hirsutella minnesotensis 3608 genome sequence and gene models were not determined by the Joint Genome Institute (JGI), but were downloaded from NCBI on Nov 5, 2020. In order to ensure this genome is comparable to those sequenced by the JGI, we applied filters to remove if present: 1) transposable elements, 2) pseudogenes, 3) alternative transcripts and overlapping models, 4) alleles on secondary scaffolds and 5) unsupported short models. This resulted in the removal of 2237 models from H. minnesotensis and the generation of the FilteredModels1 gene track. All published models are available in the ExternalModels track. Please note that this copy of the genome is not maintained by NCBI and is therefore not automatically updated. In order to allow comparative analyses with other fungal genomes sequenced by the JGI, a copy of this genome is incorporated into MycoCosm. The JGI Annotation Pipeline was used to add functional annotation to this genome.",,,,Hirsutella minnesotensis_NA_NA
Hirsutella thompsonii,Hirsutella thompsonii,ACCEPTED,Hirsutella thompsonii,Mitospores,,Ascomycota,Sordariomycetes,Hypocreales,Ophiocordycipitaceae,Hirsutella,Obligate association,Pathotroph,Insect Pathogen,Insect,NA,3,3,7.068583471,1,NA,https://www.sciencedirect.com/topics/agricultural-and-biological-sciences/hirsutella-thompsonii,,,,Hirsutella thompsonii_3_3
Histoplasma capsulatum,Histoplasma capsulatum,ACCEPTED,Histoplasma capsulatum,Mitospores,,Ascomycota,Eurotiomycetes,Onygenales,Ajellomycetaceae,Histoplasma,B_Opportunistic association,Pathotroph-Saprotroph,Human_Pathogen-Dung_Saprotroph,Human,NA,7.5,6.75,51.4435797,1.3,2,"This genome was sequenced by the Broad Institute.Histoplasma capsulatum is the most common cause of fungal respiratory infections (histoplasmosis) in the world. While most infections are mild, 10% of cases result in life-threatening complications such as inflammation of the pericardium and fibrosis of major blood vessels (Durkin, Kohler et al., 2001). In addition, some African H. capsulatum isolates cause a distinct disease, African histoplasmosis, that is characterized by cutaneous and subcutaneous lesions in the bone (Jones and Goodwin., 1981). Once infected, a latent infection may be reactivated. Histoplasma poses a particular threat to the elderly and to immunocompromised patients (Rachid, Rezende et al. 2003). ;  ",,,,Histoplasma capsulatum_7.5_6.75
Holtermannia corniformis,Holtermannia corniformis,ACCEPTED,Holtermannia corniformis,NA,,Basidiomycota,Tremellomycetes,Holtermanniales,Holtermanniaceae,Holtermannia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,Holtermannia corniformis_NA_NA
Holtermanniella nyarrowii,Holtermanniella nyarrowii,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,Holtermanniella nyarrowii_NA_NA
Homolaphlyctis polyrhiza,Homolaphlyctis polyrhiza,ACCEPTED,Homolaphlyctis polyrhiza,Mitospores,zoospore,Chytridiomycota,Rhizophydiomycetes,Rhizophydiales,NA,Homolaphlyctis,AFree living,Saprotroph,Undefined Saprotroph,Saprotroph,NA,4,4,NA,NA,NA,"The genome sequence and gene models of Homolaphlyctis polyrhiza JEL142 were not determined by the Joint Genome Institute (JGI), but were provided by the Stajich lab in June, 2016. In order to allow comparative analyses with other fungal genomes sequenced by the JGI, a copy of this genome is incorporated into Mycocosm. JGI tools were used to automatically annotate predicted proteins. Please note that this copy of the genome is not maintained by the Stajich lab and is therefore not automatically updated. ; Please contact the Stajich lab for permission to use this genome in your research.","Longcore, J. E., Letcher, P. M., & James, T. Y. (2011). Homolaphlyctis polyrhiza gen. et sp. nov., a species in the Rhizophydiales (Chytridiomycetes) with multiple rhizoidal axes. Mycotaxon, 118, 433-440.",,,Homolaphlyctis polyrhiza_4_4
Huntiella bhutanensis,Huntiella bhutanensis,ACCEPTED,Huntiella bhutanensis,Meiospores,,Ascomycota,Sordariomycetes,Microascales,Ceratocystidaceae,Huntiella,Facultative association,Unknown,Insect_associated,Unknown,NA,5,3.5,10.21017612,2.8,NA,https://mycokeys.pensoft.net/article/53205/,"Van Wyk M, Roux J, Barnes I, Wingfield BD, Chhetri DB, Kirisits T, Wingfield MJ (2004) Ceratocystis bhutanensis sp. nov., associated with the bark beetle Ips schmutzenhoferi on Picea spinulosa in Bhutan. Studies in Mycology 50: 365–379.",,,Huntiella bhutanensis_6_2.25
Huntiella bhutanensis,Huntiella bhutanensis,ACCEPTED,Huntiella bhutanensis,Mitospores,,Ascomycota,Sordariomycetes,Microascales,Ceratocystidaceae,Huntiella,Facultative association,Unknown,Insect_associated,Unknown,NA,6,2.25,10.21017612,2.8,NA,https://mycokeys.pensoft.net/article/53205/,"Van Wyk M, Roux J, Barnes I, Wingfield BD, Chhetri DB, Kirisits T, Wingfield MJ (2004) Ceratocystis bhutanensis sp. nov., associated with the bark beetle Ips schmutzenhoferi on Picea spinulosa in Bhutan. Studies in Mycology 50: 365–379.",,,Huntiella bhutanensis_6_2.25
Huntiella decipiens,Huntiella decipiens,ACCEPTED,Huntiella decipiens,Meiospores,,Ascomycota,Sordariomycetes,Microascales,Ceratocystidaceae,Huntiella,Facultative association,Unknown,Plant_associated,Unknown,NA,4.75,2.75,10.25926351,1.727272727,NA,https://imafungus.biomedcentral.com/articles/10.5598/imafungus.2017.08.02.10,,,,Huntiella decipiens_4.75_2.75
Huntiella moniliformis,Huntiella moniliformis,ACCEPTED,Huntiella moniliformis,Meiospores,,Ascomycota,Sordariomycetes,Microascales,Ceratocystidaceae,Huntiella,AFree living,Saprotroph,Undefined Saprotroph,Saprotroph,NA,4.5,2.5,8.835729338,1.8,NA,Unisexual reproduction in Huntiella moniliformis,,,,Huntiella moniliformis_4.5_2.5
Huntiella omanensis,Huntiella omanensis,ACCEPTED,Huntiella omanensis,Mitospores,,Ascomycota,Sordariomycetes,Microascales,Ceratocystidaceae,Huntiella,Facultative association,Pathotroph,Plant_Pathogen,Plant Pathogen undefined,NA,7,4,NA,NA,NA,"Ceratocystis omanensis, a new species from diseased mango trees in Oman",,,,Huntiella omanensis_7_4
Huntiella omanensis,Huntiella omanensis,ACCEPTED,Huntiella omanensis,Meiospores,,Ascomycota,Sordariomycetes,Microascales,Ceratocystidaceae,Huntiella,Facultative association,Pathotroph,Plant_Pathogen,Plant Pathogen undefined,NA,6,3,NA,NA,NA,"Ceratocystis omanensis, a new species from diseased mango trees in Oman",,,,Huntiella omanensis_6_3
Huntiella savannae,Huntiella savannae,ACCEPTED,Huntiella savannae,Meiospores,,Ascomycota,Sordariomycetes,Microascales,Ceratocystidaceae,Huntiella,Facultative association,Unknown,Plant_associated,Unknown,NA,4.95,2.9,11.27439064,1.706896552,NA,https://mycokeys.pensoft.net/article/53205/,,,,Huntiella savannae_4.95_2.9
Hydnomerulius pinastri,Leucogyrophana pinastri,SYNONYM,NA,Meiospores,,Basidiomycota,Agaricomycetes,Boletales,Hygrophoropsidaceae,Hydnomerulius,AFree living,Saprotroph,Undefined Saprotroph,Saprotroph,NA,5.5,4,17.27875959,1.375,NA,"This genome was sequenced as a part of the large-scale multi-genome JGI CSP Saprotrophic Agaricomycotina Project (SAP), which focuses on the diversity and evolution of decay mechanisms, organismal phylogenetic relationships, and developmental evolution. A large collaborative effort led by PI of this project, David Hibbett (Clark University) aims for master publication(s) of the SAP data analysis. Researchers who wish to publish analyses using data from unpublished SAP genomes are respectfully required to contact the PI and JGI to avoid potential conflicts on data use and coordinate other publications with the SAP master paper(s). ; The genus Hydnomerulius (Boletales, Basidiomycota) contains a single species, H. pinastri, which produces a brown-rot similar to that of Serpula and Coniophora species. Hydnomerulius pinastri is sometimes called the spiny dry rot fungus for obvious reasons. As the resupinate (crust-like) fruiting body develops, the spore-bearing layer first becomes wrinkled and then produces tooth or spine like structures, followed by increased hyphal pigmentation. Serpula, Coniophora, and Hydnomerulius represent morphologically and ecologically similar lineages in the Boletales, but they are not closely related. Hydnomerulius pinastri is the sister group to the Boletineae, which harbors some 800 predominantly ectomycorrhizal species including highly valued edibles, such as porcini mushrooms. The ecological requirements of H. pinastri are identical to those of the dry rot fungus Serpula lacrymans. The wood of conifers is the substrate of choice and both species attack wooden building structures. However, H. pinastri infestations occur rarely and if they do, they are much less aggressive compared to the fatal damage left by S. lacrymans. The brown-rot nutritional mode in the Boletales has received much attention lately, with the emergence of completed genome projects in this fungal group. Class II peroxidases, the enzymes responsible for rapid delignification of wood in white rot fungi, are absent in S. lacrymans and Coniophora puteana. These fungi access cellulose and hemicellulose after modifying the lignin compounds of wood to the extent that the converted lignin becomes recalcitrant to further decay by other saprotrophs. Thus, the ecology of brown-rot fungi creates important carbon sinks in forests, delaying the immediate return of carbon to the carbon cycle. This project will also present an opportunity to study morphological and nutritional transitions in the Boletales as a model system. It has been hypothesized that ectomycorrhizal mushrooms evolved repeatedly and independently from resupinate brown-rot forms in the Boletales, and these shifts may have been promoted by the loss of highly reactive oxidative wood decaying enzymes. A direct comparison of the genome of H. pinastri and the genome of ectomycorrhizal Boletales, such as Paxillus involutus, which is closely related to H. pinastri, will be instrumental to evaluate these hypotheses.",,,,Hydnomerulius pinastri_5.5_4
Hydnomerulius pinastri,Hydnomerulius pinastri,SYNONYM,Leucogyrophana pinastri,Meiospores,,Basidiomycota,Agaricomycetes,Boletales,Hygrophoropsidaceae,Hydnomerulius,AFree living,Saprotroph,Undefined Saprotroph,Saprotroph,NA,5.5,4,17.27875959,1.375,NA,"This genome was sequenced as a part of the large-scale multi-genome JGI CSP Saprotrophic Agaricomycotina Project (SAP), which focuses on the diversity and evolution of decay mechanisms, organismal phylogenetic relationships, and developmental evolution. A large collaborative effort led by PI of this project, David Hibbett (Clark University) aims for master publication(s) of the SAP data analysis. Researchers who wish to publish analyses using data from unpublished SAP genomes are respectfully required to contact the PI and JGI to avoid potential conflicts on data use and coordinate other publications with the SAP master paper(s). ; The genus Hydnomerulius (Boletales, Basidiomycota) contains a single species, H. pinastri, which produces a brown-rot similar to that of Serpula and Coniophora species. Hydnomerulius pinastri is sometimes called the spiny dry rot fungus for obvious reasons. As the resupinate (crust-like) fruiting body develops, the spore-bearing layer first becomes wrinkled and then produces tooth or spine like structures, followed by increased hyphal pigmentation. Serpula, Coniophora, and Hydnomerulius represent morphologically and ecologically similar lineages in the Boletales, but they are not closely related. Hydnomerulius pinastri is the sister group to the Boletineae, which harbors some 800 predominantly ectomycorrhizal species including highly valued edibles, such as porcini mushrooms. The ecological requirements of H. pinastri are identical to those of the dry rot fungus Serpula lacrymans. The wood of conifers is the substrate of choice and both species attack wooden building structures. However, H. pinastri infestations occur rarely and if they do, they are much less aggressive compared to the fatal damage left by S. lacrymans. The brown-rot nutritional mode in the Boletales has received much attention lately, with the emergence of completed genome projects in this fungal group. Class II peroxidases, the enzymes responsible for rapid delignification of wood in white rot fungi, are absent in S. lacrymans and Coniophora puteana. These fungi access cellulose and hemicellulose after modifying the lignin compounds of wood to the extent that the converted lignin becomes recalcitrant to further decay by other saprotrophs. Thus, the ecology of brown-rot fungi creates important carbon sinks in forests, delaying the immediate return of carbon to the carbon cycle. This project will also present an opportunity to study morphological and nutritional transitions in the Boletales as a model system. It has been hypothesized that ectomycorrhizal mushrooms evolved repeatedly and independently from resupinate brown-rot forms in the Boletales, and these shifts may have been promoted by the loss of highly reactive oxidative wood decaying enzymes. A direct comparison of the genome of H. pinastri and the genome of ectomycorrhizal Boletales, such as Paxillus involutus, which is closely related to H. pinastri, will be instrumental to evaluate these hypotheses.",,,,Hydnomerulius pinastri_5.5_4
Hygrophorus pudorinus,Hygrophorus pudorinus,ACCEPTED,Hygrophorus pudorinus,Meiospores,,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Hygrophorus,Obligate association,Symbiotroph,Ectomycorrhizal,Plant Ectomycorrhizal,NA,8.5,4.75,NA,NA,NA,https://www.mushroomexpert.com/hygrophorus_pudorinus.html,,,,Hygrophorus pudorinus_8.5_4.75
